Account_id,Customer_id
1,374
2,123
2,251
3,317
4,317
5,322
6,378
7,447
7,492
8,303
9,89
10,404
11,225
11,377
12,447
13,33
13,419
14,424
15,374
15,400
16,58
17,10
18,152
18,243
19,207
20,278
20,295
21,249
22,45
23,219
24,344
24,491
25,172
26,299
26,383
27,214
28,291
29,95
30,355
31,494
32,62
33,171
34,155
34,410
35,211
36,390
37,244
37,499
38,229
39,277
40,48
41,307
42,148
43,3
44,156
44,206
45,192
46,255
47,273
47,348
48,40
49,470
50,234
51,180
52,9
52,295
53,456
54,241
55,177
56,380
57,109
58,172
59,343
60,264
61,100
61,324
62,254
63,497
64,351
65,211
66,4
67,3
67,460
68,165
69,413
70,351
71,87
72,287
72,361
73,150
73,461
74,447
75,383
76,137
77,400
77,416
78,473
79,107
79,338
80,51
80,474
81,238
82,190
82,284
83,280
83,295
84,146
85,263
85,304
86,57
87,114
87,270
88,229
89,324
90,500
91,394
92,25
93,56
94,15
94,156
95,190
96,475
97,2
98,367
99,369
100,500
101,322
102,446
102,448
103,38
104,158
105,472
106,57
107,191
108,386
109,38
110,274
111,448
112,166
112,395
113,429
114,72
115,167
115,460
116,277
117,218
118,358
119,273
119,434
120,37
120,198
121,7
122,229
122,435
123,95
123,208
124,10
124,242
125,58
125,375
126,249
127,359
128,474
129,79
130,476
131,75
132,188
133,42
134,245
135,336
136,472
137,361
138,185
139,225
140,142
141,152
142,88
142,428
143,357
144,474
145,286
146,235
147,18
147,363
148,171
149,45
149,307
150,99
150,121
151,296
152,223
153,94
153,392
154,104
155,181
155,422
156,107
157,272
158,76
159,172
160,355
161,15
161,180
162,243
163,172
163,331
164,43
165,461
166,20
166,306
167,53
168,237
169,31
169,144
170,184
170,250
171,60
172,406
173,53
174,185
174,204
175,113
175,260
176,22
176,252
177,100
177,202
178,188
179,395
180,114
180,426
181,315
181,354
182,326
182,428
183,345
184,72
185,62
186,355
186,464
187,307
188,70
188,183
189,328
190,33
190,113
191,410
192,63
193,460
194,84
195,476
196,51
196,421
197,77
197,485
198,83
199,274
200,196
201,61
201,418
202,143
202,483
203,124
203,259
204,187
204,455
205,23
206,395
207,83
208,14
209,258
210,80
211,77
212,47
212,188
213,143
214,88
215,253
216,29
217,378
218,365
219,421
220,70
220,254
221,355
221,485
222,328
222,480
223,390
224,228
224,235
225,318
226,263
227,142
227,217
228,490
229,179
230,57
231,274
232,374
233,163
234,377
235,72
236,21
236,69
237,495
238,35
238,51
239,313
240,446
241,362
242,272
242,357
243,108
243,386
244,193
244,388
245,106
246,206
246,348
247,82
248,63
249,108
250,328
251,23
252,216
253,64
254,1
254,328
255,314
255,488
256,277
257,60
257,283
258,413
258,456
259,22
260,93
261,89
262,332
263,397
264,314
265,6
265,387
266,77
266,380
267,297
268,300
269,401
270,262
270,310
271,275
271,479
272,392
273,154
274,117
274,209
275,26
275,464
276,304
277,497
278,268
279,114
279,457
280,19
281,387
281,469
282,270
282,425
283,106
284,438
285,62
286,489
287,41
288,354
289,500
290,156
290,253
291,163
291,177
292,255
293,56
294,341
294,458
295,30
295,75
296,167
296,215
297,326
298,171
298,272
299,244
300,283
300,360
301,19
302,24
302,125
303,55
303,330
304,407
305,34
305,172
306,428
307,213
308,12
308,151
309,280
309,500
310,341
311,94
311,147
312,305
313,361
314,37
314,60
315,110
316,92
317,168
317,403
318,313
319,377
320,208
321,23
322,464
323,129
323,398
324,246
325,295
326,59
327,22
328,186
328,298
329,323
330,466
331,160
332,73
332,251
333,310
334,4
335,79
335,407
336,91
337,363
337,436
338,152
339,278
339,478
340,8
340,391
341,448
342,266
343,364
344,22
344,208
345,252
346,321
347,146
348,101
349,393
350,88
351,460
351,497
352,76
352,342
353,405
354,75
355,333
356,241
357,112
357,367
358,399
359,117
360,228
360,455
361,400
361,419
362,118
362,438
363,122
364,404
365,285
366,146
367,259
367,394
368,214
369,202
369,246
370,106
370,301
371,279
372,73
373,28
374,408
375,193
375,314
376,427
377,476
378,388
379,99
380,112
381,66
382,378
383,223
384,92
385,9
386,23
386,473
387,295
388,170
388,332
389,482
390,33
391,332
392,317
393,374
393,465
394,149
395,437
395,492
396,120
396,474
397,454
398,90
399,66
400,9
401,264
402,33
403,127
404,81
404,91
405,268
405,342
406,88
407,11
407,150
408,368
409,21
409,43
410,42
411,150
412,304
413,126
413,331
414,29
415,191
416,193
417,213
417,412
418,113
419,200
419,459
420,155
421,62
421,419
422,33
423,42
423,318
424,167
425,179
425,181
426,339
427,236
427,440
428,277
429,142
430,158
430,330
431,481
432,13
433,7
433,386
434,105
434,397
435,72
435,186
436,370
437,133
438,238
438,379
439,253
440,73
440,353
441,3
441,499
442,97
443,68
444,486
445,103
446,226
447,430
448,190
449,67
449,333
450,317
451,154
452,148
453,92
453,233
454,428
455,201
456,1
456,441
457,304
458,290
459,28
460,416
461,191
462,116
462,390
463,268
463,391
464,174
465,56
465,252
466,472
467,241
468,181
469,251
469,442
470,188
471,445
472,191
473,304
473,455
474,395
474,482
475,264
476,51
477,211
478,288
479,36
480,209
480,375
481,45
481,111
482,100
482,329
483,80
484,331
485,466
486,64
487,267
488,235
489,214
490,497
491,406
491,414
492,293
493,95
493,302
494,195
495,21
495,496
496,367
497,186
497,353
498,442
499,43
500,28
